"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22","59.52","59.59","63.18","56.69","25.28M","1.09%"
"Jun 22","58.88","70.63","71.47","54.30","672.40M","-15.05%"
"May 22","69.31","54.53","74.04","53.95","624.10M","25.81%"
"Apr 22","55.09","56.82","63.56","51.53","498.55M","-2.91%"
"Mar 22","56.74","44.33","63.24","44.04","1.25B","29.75%"
"Feb 22","43.73","37.25","43.78","37.18","417.23M","16.09%"
"Jan 22","37.67","29.21","38.93","29.15","392.77M","29.94%"
"Dec 21","28.99","30.69","31.49","26.05","289.07M","-2.23%"
"Nov 21","29.65","34.32","35.35","27.85","320.38M","-11.57%"
"Oct 21","33.53","29.82","35.75","29.75","386.16M","13.35%"
"Sep 21","29.58","25.60","30.90","24.39","377.06M","15.14%"
"Aug 21","25.69","26.10","27.08","21.62","329.97M","-1.57%"
"Jul 21","26.10","32.85","33.50","23.90","336.47M","-16.53%"
"Jun 21","31.27","26.67","33.01","26.66","431.40M","20.45%"
"May 21","25.96","25.65","28.13","23.32","347.46M","2.37%"
"Apr 21","25.36","26.82","27.82","22.40","354.07M","-4.73%"
"Mar 21","26.62","27.37","32.52","25.35","474.64M","0.04%"
"Feb 21","26.61","20.63","28.68","19.80","356.94M","32.65%"
"Jan 21","20.06","17.75","24.60","17.32","432.40M","15.89%"
"Dec 20","17.31","15.90","21.65","14.77","621.70M","9.84%"
"Nov 20","15.76","9.26","17.27","9.03","570.32M","72.62%"
"Oct 20","9.13","9.97","11.34","8.52","517.33M","-8.79%"
"Sep 20","10.01","12.59","12.90","9.83","604.34M","-21.43%"
"Aug 20","12.74","15.75","16.74","12.72","476.61M","-19.06%"
"Jul 20","15.74","18.32","18.83","15.41","463.54M","-13.99%"
"Jun 20","18.30","12.90","24.50","12.67","1.09B","41.31%"
"May 20","12.95","16.02","16.81","12.72","713.84M","-21.99%"
"Apr 20","16.60","11.04","18.27","10.12","1.17B","43.35%"
"Mar 20","11.58","33.58","34.63","9.00","1.06B","-64.63%"
"Feb 20","32.74","39.70","43.60","29.64","218.18M","-17.57%"
"Jan 20","39.72","41.63","47.58","39.42","238.09M","-3.62%"
"Dec 19","41.21","38.84","41.22","37.25","215.87M","6.84%"
"Nov 19","38.57","40.75","44.62","37.60","237.66M","-4.77%"
"Oct 19","40.50","44.67","45.42","39.97","166.02M","-8.93%"
"Sep 19","44.47","42.86","48.85","42.37","182.45M","2.28%"
"Aug 19","43.48","51.00","54.05","41.83","246.07M","-15.34%"
"Jul 19","51.36","51.00","52.70","47.95","162.36M","2.15%"
"Jun 19","50.28","50.30","51.63","47.00","184.97M","1.02%"
"May 19","49.77","59.10","60.73","49.69","335.18M","-15.47%"
"Apr 19","58.88","66.89","68.83","57.54","180.57M","-11.06%"
"Mar 19","66.20","66.37","67.98","62.12","87.77M","0.08%"
"Feb 19","66.15","67.26","68.31","63.38","83.63M","-0.94%"
"Jan 19","66.78","60.52","67.46","59.72","99.60M","8.80%"
"Dec 18","61.38","72.04","72.43","56.83","119.30M","-12.65%"
"Nov 18","70.27","67.18","75.79","66.86","117.10M","4.77%"
"Oct 18","67.07","82.32","83.35","65.65","119.92M","-18.38%"
"Sep 18","82.17","80.04","83.08","74.69","89.78M","2.88%"
"Aug 18","79.87","83.09","83.26","76.10","102.52M","-4.84%"
"Jul 18","83.93","83.04","86.60","81.29","82.51M","0.30%"
"Jun 18","83.68","84.65","87.67","80.83","108.38M","-0.62%"
"May 18","84.20","76.96","86.38","75.97","109.43M","8.98%"
"Apr 18","77.26","64.86","78.11","63.44","115.91M","18.93%"
"Mar 18","64.96","65.70","67.62","62.47","124.61M","-0.98%"
"Feb 18","65.60","75.02","76.28","65.59","105.58M","-12.50%"
"Jan 18","74.97","74.01","78.09","73.49","74.87M","1.78%"
"Dec 17","73.66","70.75","74.06","68.28","75.47M","4.48%"
"Nov 17","70.50","65.16","70.61","65.07","96.74M","9.18%"
"Oct 17","64.57","63.81","66.24","63.47","81.19M","0.56%"
"Sep 17","64.21","59.69","65.70","59.28","77.99M","7.55%"
"Aug 17","59.70","62.10","62.23","58.44","74.01M","-3.60%"
"Jul 17","61.93","60.17","63.02","57.84","70.08M","3.44%"
"Jun 17","59.87","59.09","62.16","58.07","123.66M","1.60%"
"May 17","58.93","61.54","62.12","57.20","112.32M","-4.24%"
"Apr 17","61.54","63.38","65.73","61.03","82.92M","-2.87%"
"Mar 17","63.36","66.21","66.79","61.01","132.67M","-3.34%"
"Feb 17","65.55","67.93","69.90","64.19","103.13M","-3.28%"
"Jan 17","67.77","72.27","72.96","67.32","89.72M","-4.86%"
"Dec 16","71.23","72.90","73.51","67.81","90.38M","-0.18%"
"Nov 16","71.36","72.45","72.84","64.37","137.59M","-2.13%"
"Oct 16","72.91","72.92","75.60","71.77","94.52M","-0.01%"
"Sep 16","72.92","76.55","78.17","67.83","103.99M","-5.11%"
"Aug 16","76.85","74.40","78.48","72.11","82.84M","2.84%"
"Jul 16","74.73","75.43","77.66","73.25","66.50M","-1.10%"
"Jun 16","75.56","74.90","78.31","72.50","85.18M","0.16%"
"May 16","75.44","76.22","77.35","73.82","88.48M","-1.58%"
"Apr 16","76.65","67.23","78.09","66.94","78.13M","12.01%"
"Mar 16","68.43","69.25","71.66","66.20","98.24M","-0.57%"
"Feb 16","68.82","67.51","72.16","63.21","109.94M","0.03%"
"Jan 16","68.80","67.06","68.80","58.21","138.17M","1.80%"
"Dec 15","67.58","75.65","77.14","64.86","122.01M","-10.56%"
"Nov 15","75.56","73.96","77.34","72.33","77.69M","1.41%"
"Oct 15","74.51","67.00","75.53","65.22","108.79M","12.68%"
"Sep 15","66.12","70.94","72.50","63.57","105.04M","-9.40%"
"Aug 15","72.98","69.44","74.22","64.80","122.34M","4.00%"
"Jul 15","70.17","77.50","77.73","67.27","95.36M","-9.73%"
"Jun 15","77.74","78.86","79.86","76.87","97.52M","-0.54%"
"May 15","78.16","79.93","81.98","75.57","87.85M","-2.38%"
"Apr 15","80.07","74.19","82.02","73.32","92.19M","9.73%"
"Mar 15","72.97","77.83","78.77","71.67","103.38M","-6.27%"
"Feb 15","77.85","81.74","83.70","77.65","96.05M","-2.65%"
"Jan 15","79.97","79.98","81.32","73.11","118.57M","-0.76%"
"Dec 14","80.58","77.31","83.21","72.29","165.24M","5.30%"
"Nov 14","76.52","85.36","85.74","75.31","111.18M","-10.30%"
"Oct 14","85.30","92.09","93.18","78.94","135.49M","-7.51%"
"Sep 14","92.23","99.21","99.46","91.80","84.00M","-7.31%"
"Aug 14","99.50","93.66","100.22","92.87","66.67M","6.16%"
"Jul 14","93.73","99.54","99.80","93.50","68.53M","-4.79%"
"Jun 14","98.44","95.72","101.33","95.35","82.41M","2.95%"
"May 14","95.62","91.84","95.81","89.97","77.19M","4.11%"
"Apr 14","91.85","91.50","94.20","89.47","79.42M","0.48%"
"Mar 14","91.40","91.88","93.85","87.48","87.56M","-1.27%"
"Feb 14","92.58","84.22","93.21","82.40","89.13M","10.22%"
"Jan 14","84.00","90.66","91.79","82.97","84.87M","-7.92%"
"Dec 13","91.22","91.25","91.70","86.45","76.51M","0.15%"
"Nov 13","91.09","92.13","95.37","90.67","65.57M","-1.17%"
"Oct 13","92.16","89.63","94.67","89.13","78.20M","2.72%"
"Sep 13","89.73","85.31","90.65","84.13","75.44M","6.04%"
"Aug 13","84.61","85.99","86.42","81.45","74.26M","-0.94%"
"Jul 13","85.42","86.25","88.89","82.61","78.73M","-0.20%"
"Jun 13","85.59","89.21","91.42","83.99","90.03M","-3.08%"
