date,real,nominal
1946-01-01,18.79,1.17
1946-02-01,18.89,1.17
1946-03-01,18.69,1.17
1946-04-01,20.18,1.27
1946-05-01,20.07,1.27
1946-06-01,19.85,1.27
1946-07-01,18.75,1.27
1946-08-01,21.99,1.52
1946-09-01,21.78,1.52
1946-10-01,21.36,1.52
1946-11-01,20.86,1.52
1946-12-01,22.02,1.62
1947-01-01,22.02,1.62
1947-02-01,22.02,1.62
1947-03-01,21.62,1.62
1947-04-01,24.96,1.87
1947-05-01,24.96,1.87
1947-06-01,24.84,1.87
1947-07-01,24.62,1.87
1947-08-01,24.29,1.87
1947-09-01,23.77,1.87
1947-10-01,23.77,1.87
1947-11-01,26.19,2.07
1947-12-01,25.86,2.07
1948-01-01,31.7,2.57
1948-02-01,31.97,2.57
1948-03-01,32.1,2.57
1948-04-01,31.56,2.57
1948-05-01,31.43,2.57
1948-06-01,31.17,2.57
1948-07-01,30.79,2.57
1948-08-01,30.66,2.57
1948-09-01,30.66,2.57
1948-10-01,30.79,2.57
1948-11-01,31.04,2.57
1948-12-01,31.17,2.57
1949-01-01,31.3,2.57
1949-02-01,31.56,2.57
1949-03-01,31.56,2.57
1949-04-01,31.43,2.57
1949-05-01,31.56,2.57
1949-06-01,31.43,2.57
1949-07-01,31.7,2.57
1949-08-01,31.56,2.57
1949-09-01,31.43,2.57
1949-10-01,31.7,2.57
1949-11-01,31.56,2.57
1949-12-01,31.83,2.57
1950-01-01,31.97,2.57
1950-02-01,31.97,2.57
1950-03-01,31.83,2.57
1950-04-01,31.83,2.57
1950-05-01,31.7,2.57
1950-06-01,31.56,2.57
1950-07-01,31.17,2.57
1950-08-01,30.91,2.57
1950-09-01,30.79,2.57
1950-10-01,30.54,2.57
1950-11-01,30.41,2.57
1950-12-01,30.05,2.57
1951-01-01,29.58,2.57
1951-02-01,29.23,2.57
1951-03-01,29.12,2.57
1951-04-01,29.12,2.57
1951-05-01,29.01,2.57
1951-06-01,29.01,2.57
1951-07-01,29.01,2.57
1951-08-01,29.01,2.57
1951-09-01,28.78,2.57
1951-10-01,28.67,2.57
1951-11-01,28.46,2.57
1951-12-01,28.35,2.57
1952-01-01,28.35,2.57
1952-02-01,28.56,2.57
1952-03-01,28.56,2.57
1952-04-01,28.46,2.57
1952-05-01,28.46,2.57
1952-06-01,28.35,2.57
1952-07-01,28.13,2.57
1952-08-01,28.13,2.57
1952-09-01,28.13,2.57
1952-10-01,28.13,2.57
1952-11-01,28.13,2.57
1952-12-01,28.13,2.57
1953-01-01,28.24,2.57
1953-02-01,28.35,2.57
1953-03-01,28.24,2.57
1953-04-01,28.24,2.57
1953-05-01,28.13,2.57
1953-06-01,30.76,2.82
1953-07-01,30.76,2.82
1953-08-01,30.64,2.82
1953-09-01,30.64,2.82
1953-10-01,30.53,2.82
1953-11-01,30.64,2.82
1953-12-01,30.64,2.82
1954-01-01,30.64,2.82
1954-02-01,30.64,2.82
1954-03-01,30.64,2.82
1954-04-01,30.76,2.82
1954-05-01,30.64,2.82
1954-06-01,30.64,2.82
1954-07-01,30.64,2.82
1954-08-01,30.64,2.82
1954-09-01,30.76,2.82
1954-10-01,30.76,2.82
1954-11-01,30.76,2.82
1954-12-01,30.87,2.82
1955-01-01,30.87,2.82
1955-02-01,30.87,2.82
1955-03-01,30.87,2.82
1955-04-01,30.87,2.82
1955-05-01,30.87,2.82
1955-06-01,30.87,2.82
1955-07-01,30.76,2.82
1955-08-01,30.76,2.82
1955-09-01,30.64,2.82
1955-10-01,30.64,2.82
