date,real,nominal
1915-01-01,1636.27,56.54
1915-02-01,1608.23,55.02
1915-03-01,1796.01,60.83
1915-04-01,2098.13,71.78
1915-05-01,1881.39,65.01
1915-06-01,2027.54,70.06
1915-07-01,2185.84,75.53
1915-08-01,2349.93,81.2
1915-09-01,2621.39,90.58
1915-10-01,2732.06,95.34
1915-11-01,2744.44,96.71
1915-12-01,2813.68,99.15
1916-01-01,2545.75,90.58
1916-02-01,2558.4,91.03
1916-03-01,2595.89,93.25
1916-04-01,2472.1,89.65
1916-05-01,2507.7,91.8
1916-06-01,2424.39,89.58
1916-07-01,2415.46,89.25
1916-08-01,2473.78,92.25
1916-09-01,2731.52,103.73
1916-10-01,2705.95,104.61
1916-11-01,2693.44,105.97
1916-12-01,2393.81,95
1917-01-01,2384.13,95.43
1917-02-01,2230.22,91.56
1917-03-01,2355.91,96.72
1917-04-01,2162.75,93.23
1917-05-01,2223.77,97.38
1917-06-01,2144.52,95.38
1917-07-01,2095.2,91.75
1917-08-01,1875.17,83.4
1917-09-01,1834.2,83.46
1917-10-01,1613.07,74.5
1917-11-01,1573.02,72.65
1917-12-01,1586.9,74.38
1918-01-01,1666.06,79.8
1918-02-01,1666.48,80.39
1918-03-01,1595.29,76.41
1918-04-01,1595.47,77.51
1918-05-01,1573.94,78.08
1918-06-01,1642.02,82.58
1918-07-01,1572.37,81.23
1918-08-01,1565.09,82.46
1918-09-01,1576.57,84.68
1918-10-01,1562.18,85.51
1918-11-01,1451.24,80.93
1918-12-01,1456.17,82.2
1919-01-01,1428.01,80.61
1919-02-01,1530.23,84.81
1919-03-01,1583.57,88.85
1919-04-01,1625.68,92.88
1919-05-01,1824.73,105.5
1919-06-01,1850.33,106.98
1919-07-01,1800.18,107.16
1919-08-01,1729.84,104.75
1919-09-01,1829.63,111.42
1919-10-01,1920.44,118.92
1919-11-01,1638.78,103.72
1919-12-01,1658.31,107.23
1920-01-01,1578.26,104.21
1920-02-01,1366.79,91.18
1920-03-01,1525.39,102.81
1920-04-01,1346.88,93.54
1920-05-01,1302.69,91.81
1920-06-01,1269.28,90.76
1920-07-01,1220.5,86.85
1920-08-01,1240.62,86.16
1920-09-01,1212.31,82.95
1920-10-01,1249.66,85.08
1920-11-01,1122.5,76.04
1920-12-01,1084.07,71.95
1921-01-01,1171.18,76.13
1921-02-01,1191.13,74.98
1921-03-01,1210.04,75.76
1921-04-01,1268.83,78.57
1921-05-01,1212.79,73.44
1921-06-01,1136.82,68.45
1921-07-01,1129.06,68.37
1921-08-01,1108.25,67.11
1921-09-01,1187.25,71.08
1921-10-01,1222.83,73.21
1921-11-01,1298.56,77.3
1921-12-01,1365.2,80.8
1922-01-01,1406.16,81.3
1922-02-01,1478.12,85.46
1922-03-01,1558.64,89.05
1922-04-01,1609.05,91.93
1922-05-01,1680.81,96.03
1922-06-01,1626.55,92.93
1922-07-01,1688.57,97.05
1922-08-01,1774.53,100.78
1922-09-01,1710.09,97.12
1922-10-01,1682.21,96.11
