date,real,nominal
1915-01-01,557.1,19.25
1915-02-01,562.68,19.25
1915-03-01,568.36,19.25
1915-04-01,562.68,19.25
1915-05-01,557.1,19.25
1915-06-01,557.1,19.25
1915-07-01,557.1,19.25
1915-08-01,557.1,19.25
1915-09-01,557.1,19.25
1915-10-01,551.63,19.25
1915-11-01,546.28,19.25
1915-12-01,546.28,19.25
1916-01-01,547.2,19.47
1916-02-01,547.2,19.47
1916-03-01,542.01,19.47
1916-04-01,536.89,19.47
1916-05-01,531.86,19.47
1916-06-01,526.94,19.47
1916-07-01,526.94,19.47
1916-08-01,522.11,19.47
1916-09-01,512.7,19.47
1916-10-01,503.63,19.47
1916-11-01,494.87,19.47
1916-12-01,490.61,19.47
1917-01-01,491.17,19.66
1917-02-01,478.88,19.66
1917-03-01,478.88,19.66
1917-04-01,456.07,19.66
1917-05-01,448.96,19.66
1917-06-01,442.04,19.66
1917-07-01,448.96,19.66
1917-08-01,442.04,19.66
1917-09-01,432.07,19.66
1917-10-01,425.68,19.66
1917-11-01,425.68,19.66
1917-12-01,419.45,19.66
1918-01-01,414.22,19.84
1918-02-01,411.28,19.84
1918-03-01,414.22,19.84
1918-04-01,408.39,19.84
1918-05-01,399.93,19.84
1918-06-01,394.5,19.84
1918-07-01,384.04,19.84
1918-08-01,376.56,19.84
1918-09-01,369.38,19.84
1918-10-01,362.46,19.84
1918-11-01,355.77,19.84
1918-12-01,351.47,19.84
1919-01-01,354.83,20.03
1919-02-01,361.4,20.03
1919-03-01,356.99,20.03
1919-04-01,350.59,20.03
1919-05-01,346.44,20.03
1919-06-01,346.44,20.03
1919-07-01,336.48,20.03
1919-08-01,330.78,20.03
1919-09-01,328.91,20.03
1919-10-01,323.46,20.03
1919-11-01,316.47,20.03
1919-12-01,309.76,20.03
1920-01-01,312.44,20.63
1920-02-01,309.24,20.63
1920-03-01,306.09,20.63
1920-04-01,297.05,20.63
1920-05-01,292.72,20.63
1920-06-01,288.51,20.63
1920-07-01,289.91,20.63
1920-08-01,297.05,20.63
1920-09-01,301.51,20.63
1920-10-01,303.01,20.63
1920-11-01,304.54,20.63
1920-12-01,310.83,20.63
1921-01-01,318.29,20.69
1921-02-01,328.68,20.69
1921-03-01,330.46,20.69
1921-04-01,334.12,20.69
1921-05-01,341.67,20.69
1921-06-01,343.62,20.69
1921-07-01,341.67,20.69
1921-08-01,341.67,20.69
1921-09-01,345.59,20.69
1921-10-01,345.59,20.69
1921-11-01,347.57,20.69
1921-12-01,349.58,20.69
1922-01-01,360.45,20.84
1922-02-01,360.45,20.84
1922-03-01,364.76,20.84
1922-04-01,364.76,20.84
1922-05-01,364.76,20.84
1922-06-01,364.76,20.84
1922-07-01,362.6,20.84
1922-08-01,366.95,20.84
1922-09-01,366.95,20.84
1922-10-01,364.76,20.84
1922-11-01,362.6,20.84
1922-12-01,360.45,20.84
1923-01-01,361.03,20.75
1923-02-01,361.03,20.75
1923-03-01,361.03,20.75
1923-04-01,358.89,20.75
1923-05-01,358.89,20.75
1923-06-01,356.78,20.75
1923-07-01,352.63,20.75
1923-08-01,354.68,20.75
1923-09-01,352.63,20.75
1923-10-01,350.59,20.75
1923-11-01,350.59,20.75
1923-12-01,350.59,20.75
1924-01-01,351.1,20.78
1924-02-01,353.14,20.78
1924-03-01,355.19,20.78
1924-04-01,357.29,20.78
1924-05-01,357.29,20.78
1924-06-01,357.29,20.78
1924-07-01,355.19,20.78
1924-08-01,357.29,20.78
1924-09-01,355.19,20.78
1924-10-01,353.14,20.78
1924-11-01,353.14,20.78
1924-12-01,351.1,20.78
1925-01-01,350.59,20.75
1925-02-01,352.63,20.75
1925-03-01,350.59,20.75
1925-04-01,352.63,20.75
1925-05-01,350.59,20.75
1925-06-01,346.59,20.75
1925-07-01,342.67,20.75
1925-08-01,342.67,20.75
1925-09-01,342.67,20.75
1925-10-01,342.67,20.75
1925-11-01,336.96,20.75
1925-12-01,338.83,20.75
1926-01-01,338.34,20.72
1926-02-01,338.34,20.72
1926-03-01,340.24,20.72
1926-04-01,338.34,20.72
1926-05-01,340.24,20.72
1926-06-01,342.17,20.72
1926-07-01,346.09,20.72
1926-08-01,348.08,20.72
1926-09-01,346.09,20.72
1926-10-01,344.12,20.72
1926-11-01,342.17,20.72
1926-12-01,342.17,20.72
1927-01-01,346.59,20.75
1927-02-01,348.58,20.75
1927-03-01,350.59,20.75
1927-04-01,350.59,20.75
1927-05-01,348.58,20.75
1927-06-01,344.62,20.75
1927-07-01,350.59,20.75
1927-08-01,352.63,20.75
1927-09-01,350.59,20.75
1927-10-01,348.58,20.75
1927-11-01,350.59,20.75
1927-12-01,350.59,20.75
1928-01-01,351.1,20.78
1928-02-01,355.19,20.78
1928-03-01,355.19,20.78
1928-04-01,355.19,20.78
1928-05-01,353.14,20.78
1928-06-01,355.19,20.78
1928-07-01,355.19,20.78
1928-08-01,355.19,20.78
1928-09-01,351.1,20.78
1928-10-01,353.14,20.78
1928-11-01,353.14,20.78
1928-12-01,355.19,20.78
1929-01-01,354.17,20.72
1929-02-01,354.17,20.72
1929-03-01,356.26,20.72
1929-04-01,358.37,20.72
1929-05-01,356.26,20.72
1929-06-01,354.17,20.72
1929-07-01,350.09,20.72
1929-08-01,350.09,20.72
1929-09-01,350.09,20.72
1929-10-01,350.09,20.72
